,docid,unique_words
0,943819,"['develop', 'threatened', 'airspace3', 'viewed', 'last', '1942', 'many', 'instincts', 'action', 'convincing', 'current', 'govern', 'may', 'stressed', 'view', 'great', 'displeased', 'shows', 'select', 'federalists', 'leaders', 'union', 'unenthusiastic', '109', 'active', 'agree', 'said', 'tribal', 'gocs', 'traffic', 'asll', 'know', 'commented', 'committed', 'organization', 'left', 'farce', 'federal', 'domestic', 'uncharacteristic', 'obviously', 'visual', 'even', 'describing', 'marc', 'controller', 'early', 'widely', 'put', 'making', 'importance', 'denounce', 'step', 'understand', 'situation', 'consi', 'one', '1', 'militants', 'tyus', 'could', 'reassured', 'necessary', 'would', 'assumed', 'time', 'budge', 'govt', 'regrettable', 'gens', 'establishing', 'succeed', 'oppose', 'passionate', 'colony', 'quebecois', 'flying', 'leger', 'liberals', 'determined', 'every', 'intercommunal', 'felt', 'night', 'issue', 'claim', 'process', 'place5', 'government', 'deration', 'country', 'setup', 'controllers', 'motives', 'announced', 'made', 'press', 'special', 'reaffirmation', 'end', 'observation', 'possible', 'according', 'won', 'decertify', 'placed', 'mortal', 'man', 'integrity', 'group', 'politically', 'word', 'work', 'convince', 'gravest', 'planes', 'careful', 'beginning', 'present', 'relationships', 'pensive', 'progressive', 'since', 'marcel', 'demonstrate', 'odious', '10', 'false', 'demogogues', 'flight', 'stated', 'de', 'trudeau', 'blow2', 'commission', 'claude', 'conscription', 'welfare', 'health', 'enemies', 'goc', 'compared', '72', 'scheduled', 'city', 'seperatist', 'lasted', 'mcnamara', 'breach', 'speaking', 'indicator', 'comment:', 'levesque', 'ments', 'virtually', 'must', 'handling', 'faithful', 'crises', 'naive', 'however', 'general', 'natural', 'national', 'perceive', 'three', 'pressure', 'dedication', 'independent', 'canadian', 'morin', 'aware', 'surrender', 'editorials', 'previously', 'initial', 'dared', 'encouraged', 'pq', 'mands', 'versably', 'get', 'introduction', 'confrontation', '3', 'dealth', 'pm', 'club', 'theme', 'inquiry', 'budget', 'mot', 'audience', 'alone', 'wing', 'angry', 'bilingualism', 'etc', 'unclassified', 'worst', 'apply', 'talk', 'commitment', 'remaining', 'hearings', 'lalonde', 'nonexistent', 'become', 'cescribed', 'feel', 'air', '197478', 'repeated', 'bilingual', 'shun', 'asserted', 'proof', 'control', 'seek', 'informed', 'hours', 'qualify', 'policy', 'reaction', 'concessions', 'irre', 'ie', 'crisis', 'covering', 'quebecs', 'years', 'instrument', 'boycotted', 'continued', 'provincialfederal', 'participant', 'within', 'back', 'order', 'airports', 'noting', 'mandate', 'supporter', 'ally', 'prove', 'provide', 'safe', 'englishlanguage', 'quebec', 'taken', 'party', 'fact4', 'constrained', '3man', 'hyperbole', 'sure', 'challenge', 'discussed', 'going', 'victory', 'discard', 'canada', 'added', 'anglophone', 'leader', 'resolve', 'lair', 'defend', 'us', 'blatant', 'dismayed', 'englishcanadians', 'technical', 'observers', 'easy', 'journalistn', 'rene', 'highly', 'need', 'liberal', 'problem', 'reactions', 'elsewhere', 'met', 'safety', 'remarked', 'principle', 'denounced', 'political', 'written', 'minister', 'dea', 'seem', 'justification', 'often', 'well', 'governed', 'also', 'compromise', 'solidarity', 'francophone', 'regardless', 'illegal', 'local', 'essential', 'concluded', 'pilots']"
1,943835,"['exchange', '30', 'transactions', '1976', 'official', 'june', '1', 'rate', 'curran', '100750', 'af', 's50', '100']"
2,943843,"['august', 'relationship', 'cornell', 'section', 'two', 'degrees2', 'killough', 'holds', 'late', 'july', 'best', 'iit', 'success', 'interests', 'technology', 'university', 'acting', 'general', 'embassy', 'project', 'singed', 'proposal', 'principal', 'seminar', 'higher', 'affairs', 'b', 'majeed', 'onetoone', 'patrick', 'scinetific', 'visit', 'possible', 'director', 'belgium', 'institutions', 'jawad', 'advanced', 'plans', 'ministry', 'alaubaidi', '51', 'us', 'discuss', 'early', 'attending', 'baghdad', 'wishes', 'officer', 'education']"
3,943852,"['pay', 'justified', 'texas', 'offer', 'vessel3', 're', 'total', 'consider', 'provide', 'could', 'representative', 'amp', 'contacted', 'may', 'damage', 'late', 'authorities', 'captain', 'departed', 'collusion', 'incident', 'opinion', 'port', 'conference', 'deny', 'made', 'mexican', 'salvage', 'company', 'viewing', 'inquiries', 'fairly', 'unless', 'campeche', 'confirm', 'vessel', 'since64', 'crew', 'closed', 'subject', 'former', 'case', 'reveal', 'claimed', 'protect', 'dierham', 'expenses', 'officer', 'ceived', 'loss', 'like', 'rights', 'certain', 'members', 'owner', 'company2', 'evidence', 'fees', 'declined', 'february', 'indicated', '1', 'instructions', 'would', 'fire', 'unquote', 'ashford', '1976', 'insurance', 'consulate', 'principal']"
4,944696,"['finding', 'obviously', 'part', 'selfstarting', 'best', 'must', 'commerce', 'table', 'bahrain', 'electricity', 'could', 'period', 'qualified3', 'resources', 'logistics', 'via', 'debriefing', 'future', 'agriculture', 'report', 'dec', 'water', 'staffers', 'longer', 'latter', 'professionalism', 'clearly', 'presented', 'underlies', 'washington', 'relations', 'course', 'details', 'stimulate', 'await', 'connection', 'senior', 'staff', 'province', 'impressed', 'proved', 'working', 'recommendations', 'noteworthy:', 'thailand', 'works', 'eastern', 'usgs', 'unclassified', 'work', 'member', 'mention', 'close', 'staffs', 'study', 'attended', 'depart', 'presence', 'since', 'summary', 'need', '11', '12', 'ministry', 'personal', 'survey', 'members', 'coordinate', 'advisors:', 'type', 'saudi', 'cluvertus', 'boston', 'two', 'teams', 'minister', 'submission', 'enthusiastic', 'one', '1', 'also', 'interest', 'team', 'flexible', 'aidw2', 'ambassador', 'gob', 'arabias', 'arabia', 'highly', 'ground', 'development', 'lubke', 'completed']"
5,944703,"['ago', 'august', 'richard', 'smith', 'two', 'four', 'interested2', 'assistance', 'one', 'fine', 'written', 'sutton', 'would', 'come', 'happy', 'father', 'son', '1', 'sweden', 'embassy', 'mother', 'according', 'enjoying', 'mondale', 'left', 'talked', 'sweden4', 'permission', 'still', 'concerning', 'since', 'l', 'times', 'write', 'matter', 'united', 'officer', 'senator', 'wrote', 'states', 'said', '16', 'months', 'telephone', 'month', 'anthony', 'record', 'consular', 'time5', 'again3', 'gave']"
6,945496,"['though', '24', 'registered', 'javits', 'senators', 'airil2', 'congressman', 'dated', 'buckley', 'ins', 'bouathong', 'case', 'unclassified', 'bouthong3', 'nongkhai', 'fyi:', 'camp', 'children', '1', 'fraudulent', 'arrived', 'phithoune', 'mchugh', 'family', 'presented', 'refugee', 'affidavit', 'rejected', 'stating', 'officer', 'post', 'fled', 'sworn', 'even', 'received', '15', '16', 'may', '1976', '1975', 'us', 'mark', 'hendrickson', 'interested', 'laos', 'consulate', 'subject']"
7,947154,"['irrigation', 'workers', 'later', 'hardware', 'firms', 'earliest', 'effort', 'last', 'power', 'relations0', 'concrete', 'engineering', 'minimum', 'cases', 'prime', 'relevant', 'forum', 'supply', 'meetings', 'measures', 'exports', '197619809', 'economic', 'river', 'lost', 'visiting', 'may', 'primary', 'water', 'instance', 'areas', 'established', 'information', 'inexpensive', 'upon', 'versa', 'market', 'phases', 'smaller', 'civil', 'company', 'contract', 'plusses', 'appropriate', 'products', 'location', 'casebycase', 'position', 'proposal', 'development3', 'embassys', 'generation', 'washington', 'consistent', 'individual', 'five', 'active', 'accounting', '100', 'technology', 'agree', 'giving', 'lessen', 'equipment6', 'oilfield', 'selfinterest', 'cost', 'cooperation', 'projects', 'training', 'point', 'conversely', 'latif', 'conclusion:', 'known', 'poultry', 'solid', 'actions:', 'advanced', 'headon', 'even', 'tailored', 'like', 'advantage', 'probe', 'extraordinary', 'usyugoslav', 'making', 'followup', 'consulting', 'electric', 'component', 'possibility', 'unskilled', 'enhance', 'ban', 'unusually', 'indicated', 'skilled', 'estimates', 'competition', 'one', '1', 'incremental', 'estimated', 'form', 'triangular', 'period', 'project', 'govt', 'relative', 'make', 'baghdad', 'costaccounting', 'geographic', 'successes', 'seems', 'although', 'mid1973', 'likihood', 'available', 'commerce', 'portions', 'long', 'opportunity', 'proposed', 'high', 'policy', 'returns', 'profitable', 'addition', 'wish', 'decision', 'copies', 'either', '19761980', 'transportation', 'business', 'country', 'iraqi', 'good', 'following', 'silberman', 'relatively', 'made', 'would', 'yugoslavs', 'required', 'share', 'offers', 'press', 'article', 'roadbuilding', 'end', 'rooted', 'third', 'excellent7', 'mainly', 'possible', 'possibly', 'range', 'won', 'dairy', 'subject8', 'warrant', 'lead', 'iraq4', 'days', 'greatly', 'american', 'continue', 'time', 'view', 'working', 'avail', 'elements', 'tehran', 'frequently', 'july', 'strong', 'might', 'techniques', 'management', 'ventures', 'work', 'hypo', 'trade', 'increase', 'see', 'americans', 'believe', 'present', 'b', 'success', 'since', 'due', 'match', 'info', 'towards', '15', 'sharif', 'break', 'penetration', 'key', 'parties', 'proposals', 'summary:', 'stated', 'housing', 'awarded', 'equipment', 'recommended', 'remark', 'seeking', '4000', 'selected', 'immediate', 'pending', 'division', 'goi', 'successful', 'uneven', 'lowered', 'recommend', 'abundant', 'vice', 'skills', 'construction', 'test', 'prospect', 'lack', 'wellpositioned', 'likely', 'jul', 'upstream', 'inter', 'million', 'general', 'lamenting', 'activity', 'activities', 'iran', 'rise', 'past', 'enter', 'visited', 'iraq', 'send', 'cutanddry', 'joint', 'usyugoslaviraqi', 'including', 'help', 'belgrade', 'able', 'large', 'design', 'port', 'participation', 'andor', 'introduction', 'true', 'rifle', 'therefore', 'approach', 'c', 'visit', 'procurement', 'actively', 'matchup', 'partner', 'ldcs', 'downstream', 'commercial', 'per', 'makers', 'expand', 'recent', 'case', 'rather', 'dams', 'basis', 'usiraqi', 'unclassified', 'competence', 'cooperate', 'ch', '1215', 'rapport', 'field', 'state', 'businessmen', 'way', 'bahrain', 'major', 'laborers', 'honest', 'officials', 'members', 'killough', 'weighted', '10000', 'constructionoriented', 'activities:', 'comatt', 'learn', 'situation', 'decisively', 'viewpoint', 'far', 'gas', 'council', 'alia:', 'suitable', 'assessment', 'following:', 'shotgun', 'according', 'worth', 'summary2', 'livestock', 'apprt', 'attention', 'focus', 'mistakes', '1967', 'para', 'well', 'invisibles', 'three', 'labor', 'respond', 'urban', 'gains', 'also', 'specific', 'mutually', 'prospects', 'd', 'provide', 'clear', 'planning', 'superiority', 'year', 'costeffective', 'erection', 'attachments', 'usdoc', 'matters', 'future', 'turnkey', 'concentration', 'thesis', 'support', 'kind', 'schemes', 'usda5', 'appears', 'semiskilled', 'amembassy', 'conceded', 'include', 'buyers', 'us', 'reputation', 'removed', 'plan', 'service', 'technical', 'opportunities', 'prepared', 'yugoslavia', 'services', 'contracts', 'collaboration', 'diplomatic', 'community', 'purification', 'master', 'contributions', 'countries', 'series', 'weak', 'costs', 'risks', 'need', 'yugoslav', 'transmission', 'win', 'usint', 'messages', 'promotional', 'usg', 'use', 'abdul', 'number', 'hypothesis', 'minister', 'exclusive', 'missions', 'executives', 'divisions', 'generally', 'potential', 'local', 'development', 'absence', 'bring', 'farms', 'take', 'principal']"
8,947620,"['para', 'learned', 'three', 'tender', 'firms', 'contractor', 'steam', 'power', 'also', 'million', 'imperial', 'engineering', 'electrical', 'assuming', 'extended', 'level', 'electricity', 'seems', 'ation', 'companies', 'high', 'resources', 'mau', 'may', 'classified', 'experience', 'water', 'embassy', 'turnkey', 'kuwait', 'main', 'letting', '56', 'large', 'services', 'gallon', 'announced', 'ges', 'march', 'center', 'attempting', 'civil', 'required', 'boilers', 'research', 'alyom', 'participate', 'appears', 'plagued', 'considering', 'end', 'confirm', 'items', 'possible', 'fyi2', 'reftel', 'follow', 'specialized', 'announcement', 'shall', 'comment:', 'acquire', 'bidding', 'provision', 'official', 'distillation', 'per', 'agent', 'gazette', 'quoted', 'affect', 'works', 'might', 'projects', 'enabling', 'requirement', 'capacity', 'ability', 'general', 'subcontractor', 'recognized', 'unclassified', 'indicate', '2', 'committee', 'organization', 'supplierz', 'central', 'subcontract', 'reported', 'construction', 'units', 'closing', 'come', 'major', '15', 'ministry', 'regards', 'contractors', 'work3', 'dates', 'electric', 'fyiembassy', 'whether', 'tenders', 'equipment', 'deadline', 'us', 'install', 'february', 'bid', 'turbines', 'one', '1', 'responsibility', 'midtolate', 'operation', 'day', 'gok', 'problem', 'leeway', 'allow', 'local', 'building', '1976', 'overall', 'assume', 'frirm', 'decisions']"
9,950134,"['legs:', 'render', 'later', 'landed', 'contain', '1', 'assure', 'previous', 'denmark', 'operates', 'p', 'taken', 'usdels', 'first', 'contacted', 'enroute', 'may', 'delayed', 'scioffs', 'wish', 'depterda', 'berlin', 'departed', 'getting', 'moscow', 'direct', 'four', 'planned', '3week', 'several', 'roe', 'arrived', 'advise', 'embassys', 'embassy', 'visit', 'ussr', 'am2', 'said', 'us', 'subject', 'problems', 'program', '701:', 'july', 'unaware', 'delays', 'unclassified', '2', 'arrive', 'files', 'panam', 'second', 'care', 'leg', 'travel', 'byron', 'early', 'met', 'advised', 'put', 'flight', 'hosts3', 'scae', 'two', 'contact', 'rerouted', 'situation', 'dr', 'reaction', '44', 'hours', 'arise', 'roe1', 'stoessel', 'professor', 'morning', 'mrs', 'apparently', 'roes', 'already', 'plans', 'emboff', 'easier', 'khoklova', '0701', 'assistance']"
10,950135,"['8020801:', 'visit', 'robertson']"
11,953830,"['tecnica', 'enforcement', 'reimbursable', 'official', 'pick', 'department', 'adversely', 'fit', 'limited', 'request', 'current', 'similar', 'rodriguezs', 'resources', 'venezuelas', 'interpreted', 'nicely', 'including', 'venezuelan', 'sure', 'principle', 'efforts', 'several', 'happy', 'attempting', 'aware', 'interdiction', 'society', 'common', 'contribute', 'policia', 'narcotics', 'reftel', 'reason', 'expect', 'response', 'agency', 'prepared', 'training', 'expense2', 'see', 'numbers', 'afford', 'field', 'costs', 'ship', 'expense', 'bsic', 'judicial', 'key', 'substantially', 'use', 'relationship', 'understand', 'anticipating', 'particular', 'aid', 'missions', '1', 'also', 'substantial', 'inspector', 'establish', 'venezuelans', 'relation', 'gov', 'us', 'acceptance', 'negative', 'technicians', 'operating', 'agreements', 'trained', 'requests']"
12,955014,"['develop', 'informed', 'lack', 'royal', 'took', 'appreciation', 'one', 'order', 'fill', 'helping', 'handling', 'last', 'san', 'offer', 'things', 'pro', 'official', 'however', 'vide', 'lessthanthorough', 'elected', 'greggs', 'surprised', 'cases', 'bassy', 'fully', 'president', 'visitors', 'social', 'even', 'full', 'cooperative', 'created', 'parti', 'avoid', 'felt', 'beforehand', 'ministers', 'since', 'director', 'fewer', 'planning', 'per', 'reception', 'prepared', 'minute', 'limited', 'especially', 'guidance', 'differences', 'airport', 'cool', 'aware', 'ment', 'accused', 'including', 'excellent', 'march3', 'locally', 'poor', 'hosted', 'short', 'transportation', 'government', 'country', 'gons', 'departure', 'tour', 'four', 'good', 'many', 'cre', 'following', 'apparent', 'nicaraguan', 'considerable', 'gaps', 'made', 'march', 'failed', 'performances', 'smoothly', 'well', 'brought', 'appropriate', 'dixieland', 'location', '7', 'participate', 'arranging', 'sharp', 'numerous', 'perhaps', 'em', 'embassys', 'crucial', 'luncheon', 'jazz', 'visit', 'possible', 'arrangement', 'dcm', 'result', 'active', 'conversation', 'whole', 'minor', 'naturally', 'requested', 'united', 'tourist', 'band', 'instruments', 'agency', 'events', 'us', 'contrast', 'time', 'first', 'ing', 'tourism', 'impressed', 'formances', 'give', 'interesting', 'commercial', 'idea', 'opportunities', 'ist', 'theberge', 'etc', 'preparations', 'arrangements', 'treatment', 'cooperation', 'cipation', 'services', 'group', 'ref', 'help', 'case', 'marcos', 'less', 'day', 'mission', 'quite', 'see', 'embassy', 'arrive', 'nicaragua', 'gave', 'ated', 'different', 'handle', 'success', 'appeared', 'assist', 'looking', 'thankful', 'second', 'officer', 'way', 'publicity', 'dur', 'stay', 'went', 'previous', 'criticism', 'personal', 'officially', 'nicaragua2', 'able', 'yesterday', 'appointed', 'incomplete', 'members', 'entirely', 'left', 'managua', 'charity', 'use', 'particularly', 'whether', 'housing', 'two', 'charities', 'states', 'equipment', 'benefit', 'understand', 'accompanied', 'neither', 'throughout', 'dr', 'mobilized', 'arrival', 'huge', 'missions', '48', 'junkets', 'performed', 'university', 'never', 'lastminute', 'noted', 'hours', 'became', 'interest', 'remarks', 'difficult', 'national', 'came', 'gon', 'theater', 'would', 'successful', 'failing', 'southern', 'translation', 'louisiana', 'asked', 'bank', 'development', 'received', 'indicated', 'guard', 'regret', 'note', 'commission', 'lousiana', 'somoza', 'assistance', 'massive']"
13,955204,"['dialogue', 'sip', 'unopposed', 'somewhat', 'individual', 'less', 'positions', 'within', 'soon', 'expressed', 'thought', 'current', 'attitude', 'realization', 'granting', 'reestablish', 'juan', 'commerce', 'sector6', 'last', 'uary', 'conep', 'also', 'implementation', 'lic', 'steady', 'guard', 'marked', 'elected', 'discussions', 'dominguez', 'condition', 'movement', 'week', 'move', 'council', 'limited', 'national', 'occurred', 'jan', 'economic', 'position', 'resignation', 'confederation', 'gonzalez', 'return', 'increasing', 'lost', 'surprise', 'difficulty', 'may', 'actions', 'boycott', 'accused', 'carlos', 'significant', 'enterprise', 'mend', 'prompted', 'organizations', 'annual', 'wished', 'amado', 'business', 'government', 'require', 'capac', '3829', 'panamas', 'chamber', 'colombia', 'following', 'fear', 'changes', 'announced', 'conference', 'made', 'likely', 'informal', 'close', 'heading', 'acted', 'manager', 'respected', 'ernesto', 'leading', 'apparent8', 'perez', 'democratic', 'fences', 'focal', 'governments', 'blatantly', 'end', 'members', 'jose', 'panamanian', 'continuing', 'dontrocktheboat', 'possible', 'relations', 'apede', 'exile', 'actively', 'source', 'instead', 'assurances', '22', 'lead', 'nevertheless', 'julydecember', 'days', 'public', 'title', 'stillexiled', 'reputation', 'among', 'social', 'nominees', 'removed', 'collaboration', 'potential', 'credible', 'chirinos', 'official', 'office', 'considerably', 'regional', 'lower', 'antonio', 'membership', 'figured', 'recent', 'scant', 'new', 'panana3', 'apparent', 'engineer', 'full', 'replaces', 'worse', 'point', 'reoccupy', 'slate', 'slump', 'governmental', 'expected', 'president', 'believe', 'association', 'profile', 'chirino7', 'recently', 'appeared', 'january', 'inclined', 'since', 'thus', 'impediments', 'lastra', 'francisco', 'offices', 'businessmen', 'morales', 'organization', 'effectiveness', 'understanding', 'still', 'appear', '17', 'spokesman', '18', 'industrialists', 'expires', 'majority', 'officials', 'friend', 'branch', 'high', 'immediately', 'communication', 'august5', 'panama', 'syndicate', 'sector', 'prime', 'use', 'gustavo', 'candidate', 'whether', 'de', 'june', 'two', 'removal', 'protective', 'election', 'opposition', 'truce', 'efforts', 'predecessors', 'term', 'appointment', 'publicprivate', 'la', 'subsequent', 'away', 'embarrassment', 'well', 'acting', 'private', 'one', '1', 'remained', 'maintain', 'controversial', 'become', 'banco', 'executives', 'j', 'mantle', 'removed4', 'presidents', 'twelvemonth', 'period', 'leadership', 'speculation', 'politicallyoriented', 'local', 'gop', 'recovery', 'iii', 'expulsion', 'summary2', 'ing', 'elect', 'citys', 'summary:', 'engaged', 'civil', 'construction', 'role', 'confrontation', 'signs', 'campaigning', 'toward', 'permitted', 'principal']"
14,957319,"['workers', 'khakwani', 'official', 'pjps', 'general', 'interrogation', 'session', '26272', 'limited', 'national', 'economic', 'party', 'provincial', 'process', 'cited', 'joint', 'law', 'democracy', 'urged', 'figures', 'fear', 'leaders', 'ref', 'likeminded', 'nawabzada', 'passed', 'democratic', 'nasrullah', 'pakistan', 'addressing', 'end', 'condemned', 'conspiracy', 'struggle', 'said', 'masses', 'widescale', 'mk', 'arrests', 'continue', 'moot', 'resolutions', 'pjp', 'prominent', 'real', 'rana', 'working', 'twodary', 'use', 'cooperation', 'meeting', 'recent', 'committees', 'segees', 'rule', 'increase', 'spread', 'president', 'attended', 'june', 'close', 'khan', 'countrys', 'educate', 'asserting', 'opposition', 'reportedly', 'political', 'contact', 'groups', 'situation', 'harassment', 'secretary', 'police', 'rules', '1', 'jamhoori', 'zafrullah', 'establish', 'defense']"
